Date,Price,Open,High,Low,Vol.,Change %
10-Dec-21,1.2094,1.2893,1.3322,1.2077,348.26M,-6.21%
9-Dec-21,1.2895,1.3944,1.408,1.2887,316.74M,-7.51%
8-Dec-21,1.3943,1.3783,1.4231,1.3399,328.75M,1.16%
7-Dec-21,1.3783,1.4212,1.4779,1.3656,419.79M,-3.05%
6-Dec-21,1.4217,1.3775,1.4379,1.2556,515.14M,3.21%
5-Dec-21,1.3775,1.4228,1.4342,1.2865,583.69M,-3.21%
4-Dec-21,1.4232,1.5553,1.557,1.1972,867.37M,-8.49%
3-Dec-21,1.5553,1.7199,1.7281,1.5216,466.59M,-9.58%
2-Dec-21,1.72,1.5477,1.7565,1.5186,586.89M,11.18%
1-Dec-21,1.5471,1.5532,1.6217,1.5331,259.95M,-0.40%
30-Nov-21,1.5533,1.601,1.6276,1.5461,300.28M,-3.01%
29-Nov-21,1.6015,1.5941,1.6348,1.5582,290.68M,0.48%
28-Nov-21,1.5938,1.5435,1.5987,1.423,358.15M,3.27%
27-Nov-21,1.5434,1.5328,1.5845,1.5317,249.90M,0.88%
26-Nov-21,1.5299,1.6749,1.6844,1.498,542.99M,-8.66%
25-Nov-21,1.6749,1.6652,1.7475,1.6199,402.90M,0.51%
24-Nov-21,1.6664,1.7508,1.752,1.5876,485.56M,-4.82%
23-Nov-21,1.7508,1.7762,1.8154,1.7448,242.49M,-1.45%
22-Nov-21,1.7765,1.8379,1.8379,1.758,220.71M,-3.39%
21-Nov-21,1.8389,1.9206,1.9239,1.8337,159.81M,-4.25%
20-Nov-21,1.9205,1.8631,1.955,1.8605,209.57M,3.04%
19-Nov-21,1.8637,1.7886,1.8922,1.7551,252.66M,4.20%
18-Nov-21,1.7886,1.8763,1.9061,1.7038,352.09M,-4.71%
17-Nov-21,1.8769,1.8757,1.8912,1.801,394.50M,0.07%
16-Nov-21,1.8757,2.018,2.018,1.7702,453.59M,-7.05%
15-Nov-21,2.0178,2.0398,2.0928,2.0134,152.83M,-1.08%
